N   s1                 s2                 diff               
1   0.1666666666666666 0.1666666666666667 0.0000000000000000 
2   0.2166666666666667 0.2166666666666667 0.0000000000000000 
3   0.2404761904761904 0.2404761904761905 0.0000000000000001 
4   0.2543650793650792 0.2543650793650793 0.0000000000000001 
5   0.2634559884559883 0.2634559884559884 0.0000000000000002 
6   0.2698662448662448 0.2698662448662448 0.0000000000000001 
7   0.2746281496281495 0.2746281496281496 0.0000000000000001 
8   0.2783046202163848 0.2783046202163849 0.0000000000000001 
9   0.2812285968245719 0.2812285968245720 0.0000000000000001 
10  0.2836095492055243 0.2836095492055244 0.0000000000000001 
11  0.2855858337905045 0.2855858337905046 0.0000000000000001 
12  0.2872525004571711 0.2872525004571713 0.0000000000000002 
13  0.2886770018816724 0.2886770018816727 0.0000000000000002 
14  0.2899085289752685 0.2899085289752688 0.0000000000000002 
15  0.2909837977924729 0.2909837977924731 0.0000000000000002 
16  0.2919307674894426 0.2919307674894428 0.0000000000000002 
17  0.2927711036238964 0.2927711036238966 0.0000000000000002 
18  0.2935218543746472 0.2935218543746473 0.0000000000000002 
19  0.2941966182073057 0.2941966182073059 0.0000000000000002 
20  0.2948063743048667 0.2948063743048669 0.0000000000000002 
21  0.2953600841609021 0.2953600841609023 0.0000000000000002 
22  0.2958651346659525 0.2958651346659528 0.0000000000000003 
23  0.2963276693560543 0.2963276693560546 0.0000000000000003 
24  0.2967528394240815 0.2967528394240818 0.0000000000000003 
25  0.2971449962868266 0.2971449962868269 0.0000000000000003 
26  0.2975078409892939 0.2975078409892942 0.0000000000000003 
27  0.2978445413259942 0.2978445413259946 0.0000000000000003 
28  0.2981578245340143 0.2981578245340146 0.0000000000000003 
29  0.2984500513019863 0.2984500513019866 0.0000000000000003 
30  0.2987232753457022 0.2987232753457024 0.0000000000000002 
31  0.2989792917307508 0.2989792917307511 0.0000000000000003 
32  0.2992196763461354 0.2992196763461357 0.0000000000000002 
33  0.2994458183633222 0.2994458183633225 0.0000000000000003 
34  0.2996589470930749 0.2996589470930752 0.0000000000000003 
35  0.2998601543365357 0.2998601543365360 0.0000000000000003 
36  0.3000504130884382 0.3000504130884386 0.0000000000000004 
37  0.3002305932686183 0.3002305932686188 0.0000000000000004 
38  0.3004014750184475 0.3004014750184479 0.0000000000000004 
39  0.3005637599908590 0.3005637599908594 0.0000000000000004 
40  0.3007180809785133 0.3007180809785138 0.0000000000000005 
41  0.3008650101586484 0.3008650101586490 0.0000000000000006 
42  0.3010050661810574 0.3010050661810579 0.0000000000000006 
43  0.3011387202842384 0.3011387202842389 0.0000000000000005 
44  0.3012664015916949 0.3012664015916955 0.0000000000000006 
45  0.3013885017137951 0.3013885017137956 0.0000000000000006 
46  0.3015053787591434 0.3015053787591439 0.0000000000000005 
47  0.3016173608420101 0.3016173608420106 0.0000000000000006 
48  0.3017247491581613 0.3017247491581618 0.0000000000000006 
49  0.3018278206898043 0.3018278206898048 0.0000000000000005 
50  0.3019268305907944 0.3019268305907949 0.0000000000000005 
51  0.3020220142953441 0.3020220142953447 0.0000000000000006 
52  0.3021135893869192 0.3021135893869198 0.0000000000000006 
53  0.3022017572585468 0.3022017572585474 0.0000000000000006 
54  0.3022867045912007 0.3022867045912011 0.0000000000000004 
55  0.3023686046731007 0.3023686046731012 0.0000000000000005 
56  0.3024476185795482 0.3024476185795487 0.0000000000000006 
57  0.3025238962301966 0.3025238962301971 0.0000000000000005 
58  0.3025975773383605 0.3025975773383610 0.0000000000000005 
59  0.3026687922650091 0.3026687922650096 0.0000000000000005 
60  0.3027376627884251 0.3027376627884256 0.0000000000000005 
61  0.3028043027990874 0.3028043027990880 0.0000000000000006 
62  0.3028688189281197 0.3028688189281202 0.0000000000000006 
63  0.3029313111165961 0.3029313111165967 0.0000000000000006 
64  0.3029918731321000 0.3029918731321005 0.0000000000000006 
65  0.3030505930381481 0.3030505930381487 0.0000000000000006 
66  0.3031075536214244 0.3031075536214251 0.0000000000000007 
67  0.3031628327811812 0.3031628327811818 0.0000000000000007 
68  0.3032165038846590 0.3032165038846597 0.0000000000000007 
69  0.3032686360919368 0.3032686360919374 0.0000000000000006 
70  0.3033192946532336 0.3033192946532343 0.0000000000000007 
71  0.3033685411813534 0.3033685411813540 0.0000000000000007 
72  0.3034164339016598 0.3034164339016606 0.0000000000000007 
73  0.3034630278817176 0.3034630278817184 0.0000000000000007 
74  0.3035083752425013 0.3035083752425020 0.0000000000000007 
75  0.3035525253528766 0.3035525253528772 0.0000000000000007 
76  0.3035955250088793 0.3035955250088800 0.0000000000000007 
77  0.3036374185991599 0.3036374185991607 0.0000000000000007 
78  0.3036782482578240 0.3036782482578247 0.0000000000000007 
79  0.3037180540057740 0.3037180540057747 0.0000000000000007 
80  0.3037568738815504 0.3037568738815511 0.0000000000000007 
81  0.3037947440625699 0.3037947440625706 0.0000000000000007 
82  0.3038316989775736 0.3038316989775743 0.0000000000000007 
83  0.3038677714110198 0.3038677714110207 0.0000000000000008 
84  0.3039029926000871 0.3039029926000880 0.0000000000000009 
85  0.3039373923248893 0.3039373923248902 0.0000000000000009 
86  0.3039709989924521 0.3039709989924531 0.0000000000000010 
87  0.3040038397149480 0.3040038397149489 0.0000000000000009 
88  0.3040359403826420 0.3040359403826428 0.0000000000000008 
89  0.3040673257319609 0.3040673257319618 0.0000000000000008 
90  0.3040980194090634 0.3040980194090643 0.0000000000000008 
91  0.3041280440292520 0.3041280440292528 0.0000000000000008 
92  0.3041574212325423 0.3041574212325431 0.0000000000000008 
