N   s1         s2         diff       
152 0.30521697 0.30521616 0.00000080 
153 0.30522764 0.30522680 0.00000083 
154 0.30523813 0.30523732 0.00000080 
155 0.30524850 0.30524769 0.00000080 
156 0.30525875 0.30525795 0.00000080 
157 0.30526888 0.30526805 0.00000083 
158 0.30527884 0.30527803 0.00000080 
159 0.30528873 0.30528790 0.00000083 
160 0.30529851 0.30529764 0.00000086 
161 0.30530810 0.30530727 0.00000083 
162 0.30531764 0.30531678 0.00000086 
163 0.30532706 0.30532616 0.00000089 
164 0.30533630 0.30533543 0.00000086 
165 0.30534548 0.30534458 0.00000089 
166 0.30535454 0.30535364 0.00000089 
167 0.30536348 0.30536258 0.00000089 
168 0.30537230 0.30537140 0.00000089 
169 0.30538106 0.30538014 0.00000092 
170 0.30538970 0.30538875 0.00000095 
171 0.30539823 0.30539727 0.00000095 
172 0.30540663 0.30540571 0.00000092 
173 0.30541497 0.30541402 0.00000095 
174 0.30542320 0.30542225 0.00000095 
175 0.30543137 0.30543038 0.00000098 
176 0.30543941 0.30543843 0.00000098 
177 0.30544734 0.30544639 0.00000095 
178 0.30545521 0.30545425 0.00000095 
179 0.30546302 0.30546203 0.00000098 
180 0.30547071 0.30546972 0.00000098 
181 0.30547833 0.30547732 0.00000101 
182 0.30548584 0.30548486 0.00000098 
183 0.30549330 0.30549231 0.00000098 
184 0.30550063 0.30549967 0.00000095 
185 0.30550790 0.30550694 0.00000095 
186 0.30551511 0.30551416 0.00000095 
187 0.30552226 0.30552128 0.00000098 
188 0.30552930 0.30552834 0.00000095 
189 0.30553627 0.30553532 0.00000095 
190 0.30554318 0.30554223 0.00000095 
191 0.30554998 0.30554906 0.00000092 
192 0.30555677 0.30555582 0.00000095 
193 0.30556345 0.30556253 0.00000092 
194 0.30557007 0.30556914 0.00000092 
195 0.30557668 0.30557570 0.00000098 
196 0.30558318 0.30558220 0.00000098 
197 0.30558962 0.30558863 0.00000098 
198 0.30559599 0.30559498 0.00000101 
199 0.30560231 0.30560127 0.00000104 
200 0.30560857 0.30560750 0.00000107 
201 0.30561471 0.30561367 0.00000104 
202 0.30562085 0.30561978 0.00000107 
203 0.30562687 0.30562583 0.00000104 
204 0.30563289 0.30563182 0.00000107 
205 0.30563885 0.30563775 0.00000110 
206 0.30564469 0.30564362 0.00000107 
207 0.30565053 0.30564943 0.00000110 
208 0.30565631 0.30565518 0.00000113 
209 0.30566204 0.30566090 0.00000113 
210 0.30566770 0.30566657 0.00000113 
211 0.30567330 0.30567217 0.00000113 
212 0.30567884 0.30567771 0.00000113 
213 0.30568433 0.30568320 0.00000113 
214 0.30568975 0.30568865 0.00000110 
215 0.30569518 0.30569404 0.00000113 
216 0.30570054 0.30569938 0.00000116 
217 0.30570585 0.30570468 0.00000116 
218 0.30571109 0.30570993 0.00000116 
219 0.30571628 0.30571514 0.00000113 
220 0.30572140 0.30572030 0.00000110 
221 0.30572653 0.30572540 0.00000113 
222 0.30573159 0.30573046 0.00000113 
223 0.30573660 0.30573547 0.00000113 
224 0.30574155 0.30574045 0.00000110 
225 0.30574650 0.30574536 0.00000113 
226 0.30575138 0.30575025 0.00000113 
227 0.30575621 0.30575508 0.00000113 
228 0.30576098 0.30575988 0.00000110 
229 0.30576569 0.30576465 0.00000104 
230 0.30577040 0.30576935 0.00000104 
231 0.30577505 0.30577403 0.00000101 
232 0.30577970 0.30577868 0.00000101 
233 0.30578429 0.30578327 0.00000101 
234 0.30578887 0.30578783 0.00000104 
235 0.30579340 0.30579236 0.00000104 
236 0.30579787 0.30579683 0.00000104 
237 0.30580235 0.30580127 0.00000107 
238 0.30580676 0.30580568 0.00000107 
239 0.30581111 0.30581006 0.00000104 
240 0.30581546 0.30581439 0.00000107 
241 0.30581981 0.30581868 0.00000113 
242 0.30582410 0.30582294 0.00000116 
243 0.30582833 0.30582717 0.00000116 
244 0.30583256 0.30583137 0.00000119 
245 0.30583674 0.30583552 0.00000122 
246 0.30584085 0.30583963 0.00000122 
247 0.30584496 0.30584371 0.00000125 
248 0.30584902 0.30584776 0.00000125 
249 0.30585301 0.30585179 0.00000122 
250 0.30585700 0.30585578 0.00000122 
251 0.30586100 0.30585974 0.00000125 
252 0.30586493 0.30586368 0.00000125 
253 0.30586886 0.30586758 0.00000128 
254 0.30587274 0.30587146 0.00000128 
255 0.30587661 0.30587530 0.00000131 
256 0.30588043 0.30587912 0.00000131 
257 0.30588418 0.30588290 0.00000128 
258 0.30588794 0.30588666 0.00000128 
259 0.30589163 0.30589038 0.00000125 
260 0.30589533 0.30589408 0.00000125 
261 0.30589896 0.30589774 0.00000122 
262 0.30590260 0.30590138 0.00000122 
263 0.30590624 0.30590498 0.00000125 
264 0.30590981 0.30590856 0.00000125 
265 0.30591333 0.30591211 0.00000122 
266 0.30591685 0.30591562 0.00000122 
267 0.30592036 0.30591911 0.00000125 
268 0.30592388 0.30592260 0.00000128 
269 0.30592728 0.30592605 0.00000122 
270 0.30593073 0.30592948 0.00000125 
271 0.30593413 0.30593288 0.00000125 
272 0.30593747 0.30593625 0.00000122 
273 0.30594087 0.30593958 0.00000128 
274 0.30594414 0.30594292 0.00000122 
275 0.30594742 0.30594623 0.00000119 
276 0.30595070 0.30594951 0.00000119 
277 0.30595398 0.30595276 0.00000122 
